Función objetivo: 8388965.209999999
Y_ikft[Antofagasta, R1, AT1, 1] = 0.0
Y_ikft[Santiago, R4, AT1, 3] = 0.0
Y_ikft[Santiago, R4, AT2, 1] = 0.0
Y_ikft[Santiago, R4, AT2, 2] = 0.0
Y_ikft[Santiago, R4, AT2, 3] = 0.0
Y_ikft[Santiago, R4, AT3, 1] = 0.0
Y_ikft[Santiago, R4, AT3, 2] = 0.0
Y_ikft[Santiago, R4, AT3, 3] = 0.0
Y_ikft[Santiago, R5, AT1, 1] = 0.0
Y_ikft[Santiago, R5, AT1, 2] = 0.0
Y_ikft[Santiago, R5, AT1, 3] = 0.0
Y_ikft[Santiago, R5, AT2, 1] = 0.0
Y_ikft[Santiago, R5, AT2, 2] = 0.0
Y_ikft[Santiago, R5, AT2, 3] = 0.0
Y_ikft[Santiago, R5, AT3, 1] = 0.0
Y_ikft[Santiago, R5, AT3, 2] = 0.0
Y_ikft[Santiago, R5, AT3, 3] = 0.0
Y_ikft[Santiago, R6, AT1, 1] = 0.0
Y_ikft[Santiago, R6, AT1, 2] = 0.0
Y_ikft[Santiago, R6, AT1, 3] = 0.0
Y_ikft[Santiago, R6, AT2, 1] = 0.0
Y_ikft[Santiago, R6, AT2, 2] = 0.0
Y_ikft[Santiago, R6, AT2, 3] = 0.0
Y_ikft[Santiago, R6, AT3, 1] = 0.0
Y_ikft[Santiago, R6, AT3, 2] = 0.0
Y_ikft[Santiago, R6, AT3, 3] = 0.0
Y_ikft[Concepción, R1, AT1, 1] = 0.0
Y_ikft[Concepción, R1, AT1, 2] = 0.0
Y_ikft[Concepción, R1, AT1, 3] = 0.0
Y_ikft[Concepción, R1, AT2, 1] = 0.0
Y_ikft[Concepción, R1, AT2, 2] = 0.0
Y_ikft[Concepción, R1, AT2, 3] = 0.0
Y_ikft[Concepción, R1, AT3, 1] = 0.0
Y_ikft[Concepción, R1, AT3, 2] = 0.0
Y_ikft[Concepción, R1, AT3, 3] = 0.0
Y_ikft[Concepción, R2, AT1, 1] = 0.0
Y_ikft[Concepción, R2, AT1, 2] = 0.0
Y_ikft[Concepción, R2, AT1, 3] = 0.0
Y_ikft[Concepción, R2, AT2, 1] = 0.0
Y_ikft[Concepción, R2, AT2, 2] = 0.0
Y_ikft[Concepción, R2, AT2, 3] = 0.0
Y_ikft[Concepción, R2, AT3, 1] = 0.0
Y_ikft[Concepción, R2, AT3, 2] = 0.0
Y_ikft[Concepción, R2, AT3, 3] = 0.0
Y_ikft[Concepción, R3, AT1, 1] = 0.0
Y_ikft[Concepción, R3, AT1, 2] = 0.0
Y_ikft[Concepción, R3, AT1, 3] = 0.0
Y_ikft[Concepción, R3, AT2, 1] = 0.0
Y_ikft[Concepción, R3, AT2, 2] = 0.0
Y_ikft[Concepción, R3, AT2, 3] = 0.0
Y_ikft[Concepción, R3, AT3, 1] = 0.0
Y_ikft[Concepción, R3, AT3, 2] = 0.0
Y_ikft[Concepción, R3, AT3, 3] = 0.0
Y_ikft[Concepción, R4, AT1, 1] = 0.0
Y_ikft[Concepción, R4, AT1, 2] = 0.0
Y_ikft[Concepción, R4, AT1, 3] = 0.0
Y_ikft[Concepción, R4, AT2, 1] = 0.0
Y_ikft[Concepción, R4, AT2, 2] = 0.0
Y_ikft[Concepción, R4, AT2, 3] = 0.0
Y_ikft[Concepción, R4, AT3, 1] = 0.0
Y_ikft[Concepción, R4, AT3, 2] = 0.0
Y_ikft[Concepción, R4, AT3, 3] = 0.0
Y_ikft[Concepción, R5, AT1, 1] = 0.0
Y_ikft[Concepción, R5, AT1, 2] = 0.0
Y_ikft[Concepción, R5, AT1, 3] = 0.0
Y_ikft[Concepción, R5, AT2, 1] = 0.0
Y_ikft[Concepción, R5, AT2, 2] = 0.0
Y_ikft[Concepción, R5, AT2, 3] = 0.0
Y_ikft[Concepción, R5, AT3, 1] = 0.0
Y_ikft[Concepción, R5, AT3, 2] = 0.0
Y_ikft[Concepción, R5, AT3, 3] = 0.0
Y_ikft[Concepción, R6, AT1, 1] = 0.0
Y_ikft[Concepción, R6, AT1, 2] = 0.0
Y_ikft[Concepción, R6, AT1, 3] = 0.0
Y_ikft[Concepción, R6, AT2, 1] = 0.0
Y_ikft[Concepción, R6, AT2, 2] = 0.0
Y_ikft[Concepción, R6, AT2, 3] = 0.0
Y_ikft[Concepción, R6, AT3, 1] = 0.0
Y_ikft[Concepción, R6, AT3, 2] = 0.0
Y_ikft[Concepción, R6, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R1, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R1, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R1, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R1, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R1, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R1, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R1, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R1, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R1, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R2, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R2, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R2, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R2, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R2, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R2, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R2, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R2, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R2, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R3, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R3, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R3, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R3, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R3, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R3, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R3, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R3, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R3, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R4, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R4, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R4, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R4, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R4, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R4, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R4, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R4, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R4, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R5, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R5, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R5, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R5, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R5, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R5, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R5, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R5, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R5, AT3, 3] = 0.0
Y_ikft[Puerto Montt, R6, AT1, 1] = 0.0
Y_ikft[Puerto Montt, R6, AT1, 2] = 0.0
Y_ikft[Puerto Montt, R6, AT1, 3] = 0.0
Y_ikft[Puerto Montt, R6, AT2, 1] = 0.0
Y_ikft[Puerto Montt, R6, AT2, 2] = 0.0
Y_ikft[Puerto Montt, R6, AT2, 3] = 0.0
Y_ikft[Puerto Montt, R6, AT3, 1] = 0.0
Y_ikft[Puerto Montt, R6, AT3, 2] = 0.0
Y_ikft[Puerto Montt, R6, AT3, 3] = 0.0
